course_id,course_name,description,credits,teacher_id,department_id,start_date,end_date
1,Настраиваемый и ультрасовременный искусственный интеллект,Медицина выбирать пространство совет инвалид деньги. За чем важный ярко совет уточнить степь. Сутки князь парень лиловый изба соответствие вздрагивать.,5,192,1,2024-11-06,2025-02-08
2,Совместимый и широкий графический интерфейс пользователя,Носок карман единый зато оставить коллектив. Мягкий спасть выгнать. Постоянный конструкция тута казнь правый. Ярко набор поезд.,1,183,1,2024-09-15,2024-11-25
3,Глубокая и потенциальная локальная сеть,Помолчать следовательно потом дружно теория. Смеяться неожиданный господь мгновение. Сомнительный вздрогнуть строительство прощение фонарик встать ребятишки.,3,30,1,2025-03-22,2025-07-07
4,Опциональный и нейтральный фреймворк,Витрина мгновение дальний трясти.,5,195,1,2025-03-13,2025-06-02
5,Инверсная и максимальная рабочая группа,Монета цвет болото пропасть рай цепочка. Коричневый новый бочок вперед витрина поезд выражение. Князь господь вряд. Разуметься бочок присесть демократия хотеть дальний изменение невыносимый.,2,121,1,2025-01-03,2025-04-08
6,Общедоступный и модульный системный движок,Миг похороны карман развернуться дружно. Выражение ставить потрясти темнеть житель ремень.,5,168,1,2024-09-14,2024-12-25
7,Кросс-платформенная и модульная база данных,Эпоха исполнять мелочь передо. Цепочка крыса кожа. Боец наткнуться тесно коричневый.,4,177,1,2025-03-24,2025-06-11
8,Инверсный и логистический проект,Металл оставить серьезный. Банк кпсс каюта ярко пасть добиться домашний. Место какой совещание решение тревога запустить цвет о.,1,136,1,2025-01-08,2025-04-08
9,Перспективная и экоцентричная функция,Интеллектуальный редактор разводить обида ход ярко. Хозяйка приятель советовать пространство затянуться.,2,77,1,2024-11-06,2025-02-10
10,Многоуровневый и локальный модератор,Скрытый задержать магазин витрина. Темнеть степь изображать освободить темнеть. Плясать вчера потянуться реклама поставить падать.,2,106,1,2024-11-13,2025-02-18
11,Безопасная и вторичная инфраструктура,Запустить угроза а плавно славный пробовать. Домашний совещание цвет четыре свежий торопливый интернет.,2,6,1,2024-12-26,2025-03-17
12,Многослойное и аналитическое определение,Кпсс господь назначить сынок коричневый точно сомнительный. Неудобно слишком роса крыса. Доставать голубчик увеличиваться вскинуть вздрагивать.,3,37,2,2024-09-24,2024-12-02
13,Функциональная и промежуточная миграция,Разводить вскинуть сынок блин четыре. Коробка протягивать тревога сбросить. Затянуться тревога забирать сутки рай пасть.,1,178,2,2025-01-04,2025-03-31
14,Автоматизированная и гибкая конгломерация,Бабочка выкинуть возбуждение жидкий.,4,166,2,2024-12-26,2025-04-10
15,Полная и действенная проекция,Рис виднеться крутой настать.,3,169,2,2024-09-26,2025-01-24
16,Переработанное и бескомпромиссное использование,Слать функция протягивать жидкий нож. Реклама свежий тусклый экзамен девка протягивать.,4,42,2,2024-11-09,2025-02-24
17,Сосредоточенная и нестандартная база знаний,Князь посвятить пересечь тусклый тусклый. Ручей лететь правление через следовательно кпсс деловой.,5,63,2,2025-02-14,2025-05-13
18,Программируемая и действенная миграция,Самостоятельно упор правление кузнец пространство при пастух. Падаль естественный палка. Полюбить цель отражение настать госпожа.,1,105,2,2025-01-17,2025-05-07
19,Продвинутая и целостная проекция,Вряд заложить неправда жить. Бригада цель войти мгновение успокоиться. Терапия передо подробность сустав единый магазин. Художественный спорт висеть князь.,5,104,2,2025-02-10,2025-05-29
20,Интегрированная и эвристическая инфраструктура,Фонарик боец возбуждение дошлый славный разводить оборот. Мотоцикл нож зеленый банк какой пробовать счастье.,4,173,3,2025-03-15,2025-05-27
21,Модернизируемая и оптимальная база данных,Монета зарплата сомнительный лапа выражение. Прощение скрытый растеряться. Неправда монета желание сходить счастье мягкий затянуться.,1,99,3,2024-09-20,2025-01-16
22,Увеличенный и двунаправленный интерфейс,Развитый да бригада бочок. Пропадать командир адвокат костер самостоятельно слишком. Светило спорт предоставить слать носок.,5,58,3,2025-02-09,2025-06-04
23,Сетевое и региональное ядро,Ныне инфекция неправда разводить. Анализ актриса процесс назначить князь дальний бегать.,3,200,3,2024-12-18,2025-03-27
24,Глубокая и круглосуточная защищенная линия,Мусор функция устройство запеть разуметься мальчишка ход. Торопливый задрать наслаждение умирать инфекция торопливый неправда. Девка пламя видимо голубчик печатать направо. Бригада вытаскивать выражение мрачно советовать расстегнуть рис.,3,158,3,2024-09-19,2024-12-28
25,Распределённое и мультимедийное решение,Остановить страсть единый а собеседник ягода пол. Наткнуться пробовать подземный господь. Адвокат важный трясти куча постоянный премьера вскакивать.,1,189,3,2024-10-06,2024-12-13
26,Оперативная и высокоуровневая структура,Что спичка неожиданный налоговый еврейский художественный возникновение снимать. Боец означать доставать чем природа кожа развитый.,5,69,3,2024-12-05,2025-03-20
27,Качественный и высокоуровневый модератор,Неожиданно конференция славный пропаганда другой. Выкинуть находить результат при конференция угроза ответить. Четыре поставить монета научить.,4,65,3,2024-12-09,2025-03-26
28,Цельный и третичный набор инструкций,Серьезный торговля интернет скользить дрогнуть четко труп. Оборот печатать при витрина роскошный упорно. Вряд пол одиннадцать пламя прежде наслаждение.,3,20,3,2024-11-28,2025-02-10
29,Программируемый и основной интерфейс,Актриса бровь советовать подробность художественный необычный. Понятный прощение беспомощный поймать головка правление сопровождаться степь.,1,3,3,2024-09-24,2024-11-26
30,Клиент-ориентированный и методичный архив,Идея полевой анализ. Изучить запретить плод смелый научить художественный. Близко зачем ставить скрытый.,4,92,3,2024-11-23,2025-02-08
31,Клиент-ориентированная и действенная защищенная линия,Жестокий добиться спасть зачем. Выражение магазин мотоцикл. Заработать отдел коричневый торговля.,5,179,4,2024-09-02,2024-12-02
32,Многослойная и приоритетная иерархия,Неожиданный монета порог бригада социалистический интеллектуальный.,4,67,4,2025-02-10,2025-04-19
33,Оперативная и встречная иерархия,Руководитель лапа опасность через лапа вперед фонарик. Важный каюта встать отъезд. Понятный школьный жестокий выбирать спешить.,5,158,4,2024-09-25,2024-12-06
34,Перспективная и связная ценовая структура,Юный свежий недостаток следовательно. Полевой художественный песенка сустав вообще командующий отъезд.,3,184,4,2024-12-20,2025-03-14
35,Глубокая и методичная структура,Процесс механический ботинок мягкий. Что засунуть при.,5,9,4,2025-03-16,2025-07-03
36,Уменьшенный и широкопрофильный инфопосредник,Неправда плод пропаганда порядок. Жестокий дьявол увеличиваться бригада зима. Интеллектуальный построить засунуть. Покинуть одиннадцать выбирать коллектив голубчик неожиданно космос.,4,70,4,2024-09-20,2025-01-14
37,Сосредоточенный и отказостойкий графический интерфейс,Демократия спасть витрина ход голубчик. Дорогой сходить инвалид болото исследование хозяйка.,5,130,4,2024-12-17,2025-03-16
38,Автономная и исполнительная рабочая группа,Ночь четко жидкий запустить указанный волк степь очутиться. Сынок хозяйка свежий банк командир мера.,4,123,4,2024-12-09,2025-03-24
39,Перспективная и масштабируемая служба поддержки,Сынок число развитый недостаток. Князь мгновение более. Развитый очередной парень роса беспомощный дошлый сутки.,2,12,4,2024-11-15,2025-02-23
40,Концептуальный и широкий веб-сайт,Полоска мера мусор зачем пробовать около задержать. Команда задрать вздрагивать ответить о изба мелочь спешить.,1,122,4,2025-01-12,2025-03-14
41,Настраиваемая и однородная политика,Ягода спалить функция покинуть песенка палка наслаждение кузнец. Казнь совет деньги команда дошлый вперед бригада. Достоинство кузнец расстройство слишком тута.,1,15,4,2025-02-05,2025-05-21
42,Обязательный и нейтральный архив,Сустав факультет доставать рис о поставить. Оборот неправда прощение плод магазин палка.,3,68,5,2025-01-31,2025-04-07
43,Стратегическая и высокоуровневая матрица,Правление исполнять хотеть мусор угроза. Возмутиться полоска радость успокоиться.,4,63,5,2024-11-23,2025-02-23
44,Органичная и составная политика,Мусор пасть термин светило бочок дьявол. Четко сопровождаться да ложиться белье. Привлекать потом бегать район строительство один следовательно.,5,50,5,2024-09-01,2024-11-26
45,Поэтапная и последовательная реализация,Функция неожиданно помолчать. Июнь пространство естественный обида призыв.,2,43,5,2024-12-05,2025-02-28
46,Глубокий и целостный адаптер,Анализ цепочка выразить находить страсть достоинство сутки. Наслаждение жестокий рай запеть. Выраженный премьера вряд смеяться.,3,80,5,2024-12-26,2025-03-01
47,Реконструируемый и раздвоенный портал,Армейский рот собеседник опасность премьера. Увеличиваться социалистический эффект возможно услать нажать монета.,5,76,5,2024-09-12,2024-12-01
